Title,Link,Author,PDF Link,Description,Thumbnail
Rain,https://freekidsbooks.org/rain/,Author: Letta Machoga Illustrator: Marleen Visser,https://freekidsbooks.org/wp-content/uploads/2024/06/2406-Rain-FKB.pdf,A short children’s story about rain and water. Suitable for an early reader. Text from Rain I love water. I enjoy playing with water. It is raining. Rain gives us water. I enjoy playing outside. But it is raining. I enjoy playing out in the rain. My hair is wet from playing in the rain. …,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
See You Tomorrow – fun early reader,https://freekidsbooks.org/see-you-tomorrow-fun-early-reader/,"Written by Tanya Luther Agarwal, illustrated by Partho Sengupta",https://freekidsbooks.org/wp-content/uploads/2024/06/2406-see-you-tomorrow-FKB.pdf,"A young boy tells all his animal friends “See you tomorrow,”, but will he see them all tomorrow? And if so when? A cute story with lots of repetition and imagery perfect for early readers. Sample Page from See You Tomorrow Read along with the video of See You Tomorrow, read by Kiwi Opa: Attribution: …",https://freekidsbooks.org/wp-content/uploads/2024/06/Rain-Cover.jpg
Lost in the Dark – a scary misadventure,https://freekidsbooks.org/lost-in-the-dark-a-scary-misadventure/,"Author: Sephora Mamosheledi, Illustrator: Isaac Sikhakhane",https://freekidsbooks.org/wp-content/uploads/2024/05/2405-lost-in-the-dark-RTR-FKB.pdf,"Three girls go out to play, losing track of time, it gets dark and they can’t find their way back, will they find their parents again? A lesson about being mindful when out alone. Author: Sephora Mamosheledi, Illustrator: Isaac Sikhakhane Sample Page from Lost in the Dark This book was brought to us by Room …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
A Trip to the Tap,https://freekidsbooks.org/a-trip-to-the-tap/,"Illustrated by Phumle April, Written by Sindeka Mandoyi",https://freekidsbooks.org/wp-content/uploads/2024/05/2405-A_Trip_to_the_Tap-BookDash-FKB.pdf,"Oluhle is excited to go to the tap and fetch water, she will see her friends there, but what happens when she can’t find her bucket? Illustrated by Phumle April Written by Sindeka Mandoyi Designed by Nadene Kriel Sample Page from A Trip to the Tap   Download the full book by selecting one of …",https://freekidsbooks.org/wp-content/uploads/2024/06/4206-see-you-tomorrow-FKB-cover.jpg
The Conical Hat,https://freekidsbooks.org/the-conical-hat/,Author: Ram Babu Subedi Illustrator: Promina Shreshtha,https://freekidsbooks.org/wp-content/uploads/2024/04/2404-The_conical_hat-RTR-FKB.pdf,"A short story about conical hats and all their important uses. Great for young children, learning to read, and ESL. Sample page from The Conical Hat Author: Ram Babu Subedi Illustrator: Promina Shreshtha Brought to us by Room to Read. Read along with Kiwi Opa:","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Let’s Count Legs,https://freekidsbooks.org/lets-count-legs/,Author: All Children Reading Cambodia Illustrator: Measa Sovonnarea,https://freekidsbooks.org/wp-content/uploads/2024/04/2404-let-s-count-legs-FKB.pdf,"A fun counting book featuring the numbers 2,4,6, and 8. Brought to us by The Asia Foundation and Storyweaver. Author: All Children Reading Cambodia Illustrator: Measa Sovonnarea Sample Page from Let’s Count Legs Read along with Kiwi Opa in the video of Let’s Count Legs:",https://freekidsbooks.org/wp-content/uploads/2024/05/2405-lost-in-the-dark-RTR-FKB.jpg
The Pottering Pig,https://freekidsbooks.org/the-pottering-pig/,Author: Rohit Kulkarni Illustrator: Priya Kuriyan,https://freekidsbooks.org/wp-content/uploads/2024/04/2404-the-pottering-pig-FKB.pdf,"The pottering pig causes all sorts of chaos, but did she break the potter’s pots? A cute whodunnit, when the Pottering Pig is accused of a crime she may or may not have committed. Author: Rohit Kulkarni Illustrator: Priya Kuriyan Sample Page from The Pottering Pig: Brought to us by Pratham Books. Read along with …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Three Billy Goats Gruff – CKF,https://freekidsbooks.org/three-billy-goats-gruff-ckf/,Core Knowledge Foundation,https://freekidsbooks.org/wp-content/uploads/2024/04/2404-Three_Billy_Goats_Gruff-Landscape-Book-CKF-FKB-1.pdf,This classic tale is told with some beautiful imagery combined with some comprehension questions. Creator: Core Knowledge Foundation See more from CKF on FKB here: https://freekidsbooks.org/publisher/core-knowledge-foundation/ This book is also available in an editable version (created using Open Office): https://freekidsbooks.org/wp-content/uploads/2024/04/Three_Billy_Goats_Gruff-Landscape-Book-CKF-FKB.odt Sample Page from Three Billy Goats Gruff:,https://freekidsbooks.org/wp-content/uploads/2024/05/2405-A_Trip_to_the_Tap-Childrens_Story_BookDash-FKB-cover.jpg
Monster’s Day Out,https://freekidsbooks.org/monsters-day-out/,Danielle Bruckert,https://freekidsbooks.org/wp-content/uploads/2024/03/Monsters-Day-Out-FKB.pdf,"A sequel to the popular There’s a Monster this book explores, in rhyme, a day at the playground with Monster. Sample Page from Monster’s Day Out See also: There’s a Monster eBook More by the Author – Danielle Bruckert And, more books about Monster’s on FKB","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Happy Train,https://freekidsbooks.org/happy-train/,Author: Humayan Rashid Illustrator: Mehedi Haque,https://freekidsbooks.org/wp-content/uploads/2024/03/2403-Happy_Train-RTR-FKB.pdf,"A train travels through the country side, first she is very happy, but then getting farther and farther from home and seeing strange people and animals she becomes worried and scared. Fortunately someone comes to help. A great story about exploring emotions. Author: Humayan Rashid Illustrator: Mehedi Haque Sample Page from The Happy Train: Another …",https://freekidsbooks.org/wp-content/uploads/2024/04/The-Conical-Hat-Cover.jpg
Hippo Naughty Hippo,https://freekidsbooks.org/hippo-naughty-hippo/,"Adaption Danielle Bruckert, Illustrations Megan Andrews",https://freekidsbooks.org/wp-content/uploads/2024/02/2402-Hippo_Naughty_Hippo-FKB.pdf,"What is Hippo doing? And is she really naughty? Find out in this cute, beautifully illustrated text for young children. Repetition and simple language can also be useful for learn to read age. See also Elephant, Naughty Elephant in this series. Sample Text from Hippo, Naughty Hippo What is Hippo doing, can you guess? Hippo, …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Hungry on the Steps – Early Learning,https://freekidsbooks.org/hungry-on-the-steps-early-learning/,"Author: Nandini Nayar, Illustrator: Nirzara Verulkar",https://freekidsbooks.org/wp-content/uploads/2024/02/2402-hungry-on-the-steps-FKB.pdf,"Count with a hungry family, trekking up the stairs to their house, and someone else is hungry too – join in, in this cute interactive story featuring repetition, rhyme, and counting, perfect for early learning. Sample Text from Hungry on the Stairs “I am hungry!” Pranav shouts. “Hurry, then!” Amma says. “But why?” “You are …",https://freekidsbooks.org/wp-content/uploads/2024/02/hippo-Cover.jpg
Friendship with the Toothbrush,https://freekidsbooks.org/friendship-with-the-toothbrush/,Neha Jain,https://amzn.eu/d/g3wsn27,"A cute rhyming story encouraging brushing teeth, including a star chart at the end. Also available in Hindi Sample page from Friendship with Toothbrush Read along with the video – read by Kiwi Opa","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Gorillas Go to the Beach,https://freekidsbooks.org/gorillas-go-to-the-beach/,Jemma Jose,https://freekidsbooks.org/wp-content/uploads/2024/01/2401-gorillas-go-to-the-beach-FKB.pdf,"What would gorillas do if they went to the beach? A beautifully illustrated short children’s story for young children, also suitable for learn to read age. Author/Illustrator: Jemma Jose See more books about animals in our Animals Category. See more books like this in our Toddlers Category Download or read online the full book by …",https://freekidsbooks.org/wp-content/uploads/2024/02/Hungry-on-the-steps-childrens-story-cover.jpg
Allie’s Haircut,https://freekidsbooks.org/allies-haircut/,Fatimah Zahra,https://freekidsbooks.org/wp-content/uploads/2023/12/2312-Allies-Haircut-FKB.pdf,"Allie thinks her mum looks so pretty with short hair, she wishes she had short hair, what do you think she will do? Find out in this beautifully illustrated short book, perfect for reading to young children, or by emergent readers. Read the full book by selecting one of the green buttons below the post! …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Always Be Good – Be Nice series book 5, revised edition",https://freekidsbooks.org/always-be-good-be-nice-series-book-5-revised-edition/,Danielle Bruckert and Zehnya Bruckert,https://freekidsbooks.org/wp-content/uploads/2023/02/FKB_Learn-Sight-Words-Print_friendly-Always_Be_Good-VZ.pdf,"Always Be Good is a short simple book for young children, and beginner ESL readers, promoting important behaviours young children need to learn. Book 5 in the FKB Always Be Nice series featuring cute animals and alliteration.",https://freekidsbooks.org/wp-content/uploads/2024/01/Friends_with_toothbrush-cover.jpg
I Love My Planet – Child friendly conservation guide,https://freekidsbooks.org/i-love-my-planet-child-friendly-conservation-guide/,Author: Peter Reichenbach Illustrator: Patrick Bartsch,https://freekidsbooks.org/wp-content/uploads/2023/12/2312-i-love-my-planet-FKB.pdf,I do not use plastic bags but I use cloth bags instead.,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Power of Soap – A fun hygiene lesson,https://freekidsbooks.org/the-power-of-soap-a-fun-hygiene-lesson/,The Bronchi Pair,https://freekidsbooks.org/wp-content/uploads/2023/12/2312-The_Power_of_Soap_FKB.pdf,"Hello, this story tells the tale of Leo as he learns about the power and importance of soap.",https://freekidsbooks.org/wp-content/uploads/2024/01/2401-gorillas-go-to-the-beach-FKB.jpg
"Unathi and the Dirty, Smelly Beast – fun early reader",https://freekidsbooks.org/unathi-dirty-smelly-beast-fun-early-reader/,Illustrated by Jess Jardim-Wedepohl Written by Jon Keevy,https://freekidsbooks.org/wp-content/uploads/2023/12/2312-unathi-and-the-dirty-smelly-beast-FKB.pdf,"Unathi and the Dirty, Smelly Beast – A mysterious dirty smelly beast is following Unathi home, or is it really a dirty smelly beast? Find out in this fun creative commons picture book from BookDash. This picture book is perfect for young children who want to start reading and understand common words with help. The …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
How Many? – Counting and simple addition,https://freekidsbooks.org/how-many-counting-and-simple-addition/,Author: Sudeshna Shome Ghosh Illustrator: Sayan Mukherjee,https://freekidsbooks.org/wp-content/uploads/2023/12/2312-How_many-Counting_Book-FKB.pdf,"In this book we meet beautifully illustrated creatures and count how many to answer simple addition problems. Author: Sudeshna Shome Ghosh, Illustrator: Sayan Mukherjee. Another great book from Pratham and Storyweaver. – See many more books like this in our Maths Category. Read the full book by selecting one of the buttons below the post. …",https://freekidsbooks.org/wp-content/uploads/2023/12/2312-Allies_Haircut-FKB.jpg
What Is Christmas?,https://freekidsbooks.org/what-is-christmas/,Danielle Bruckert,https://freekidsbooks.org/wp-content/uploads/2016/12/What-is-Christmas-.pdf,"What is Christmas all about? Is it the presents, and the candy, and the snow – do you even have snow? Or is it about sharing, giving, loving, and growth? Is it about toys or is it about family and fun? This short photo book is designed for young children and children learning to read, …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Respecting Personal Space,https://freekidsbooks.org/respecting-personal-space/,Mr. Belgrave,https://freekidsbooks.org/wp-content/uploads/2023/10/Respecting-Personal-Space-Social-Story.pdf,"A group of friends love spending time with each other, but they also each have different likes and hates, respecting each other’s personal space means they have more fun while not offending each other. An endearing story explaining an important lesson about respecting others. Another great story from Kaptain Uke, aka Mr. Belgrave. See more …",https://freekidsbooks.org/wp-content/uploads/2019/12/what-is-christmas-cover2.jpg
Scary No More – A Halloween tale,https://freekidsbooks.org/scary-no-more-a-halloween-tale/,Free Kids Books,https://freekidsbooks.org/wp-content/uploads/2023/10/2310-Scary_No_More-FKB.pdf,"Witches, monsters, and Halloween creatures gather for a night of delight, but instead of being scary, they decide to be jolly and merry. A fun rhyming tale that takes the scare out of scary and makes Halloween fun. For more family fun enjoy some of the recipie suggestions at the end of the book. This …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Cool Cat (What my Cat Does),https://freekidsbooks.org/cool-cat-what-my-cat-does/,Danielle Bruckert and Naobim,https://freekidsbooks.org/wp-content/uploads/2023/11/2310-Cool_Cat-FKB.pdf,Have you ever wondered what your Cat does when you are at school? Find out in this cute rhyming tale,https://freekidsbooks.org/wp-content/uploads/2023/10/Respecting-Personal-Space-Social-Story.jpg
Goldilocks – What Ever Happened to Her?,https://freekidsbooks.org/goldilocks-what-ever-happened-to-her/,"Written by Gabriel Rosenstock, Illustrated by Beatrice Dvilnsky",https://freekidsbooks.org/wp-content/uploads/2023/09/2309-Goldilocks_FKB.pdf,"A very cute beautifully illustrated rhyming tale of Goldilocks and the Three Bears. Gabriel Rosenstock has given life to this classic tale, illustrated by Beatrice Dvilnsky. Suggested age range 4 to 8 years. Text from Goldilocks – What Ever Happened to Her? Who goes there? It’s Mommy Bear, Daddy Bear, and Baby Bear. They often …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Memory Tree – Dealing with a Death in the Family,https://freekidsbooks.org/the-memory-tree-dealing-with-a-death-in-the-family/,"Illustrated by Agrippa Mncedisi Hlophe, Written by Savnola Goldridge",https://freekidsbooks.org/wp-content/uploads/2023/09/2309-the-memory-tree-BookDash-FKB.pdf,Thembi and Thulani’s Grandpa is very sick. They are sad. Then Mommy and Daddy tell them Grandpa won’t be coming home anymore. They miss Grandpa Nathi. Daddy and Mommy find a special way to remember Grandpa Nathi. Illustrated by Agrippa Mncedisi Hlophe Written by Savnola Goldridge Designed by Jason Gien Edited by Mariam Mahomed Brought …,https://freekidsbooks.org/wp-content/uploads/2023/10/2310-Scary_No_More-FKB-Cover.jpg
Professor Blue,https://freekidsbooks.org/professor-blue/,"Written by Gabriel Rosenstock, Illustrated by Carol Betera",https://freekidsbooks.org/wp-content/uploads/2023/08/Professor_Blue-FKB.pdf,"Professor Blue is one of Gabriel Rosenstock’s nutty professors. He loves blue – singing the blues, a blue terrier, blue car, but can too much of a good thing be bad? You can also read along with this book here: Read by Kiwi Opa","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Elephant, Naughty Elephant",https://freekidsbooks.org/elephant-naughty-elephant/,"Original Text Abhi Krish, Adaption Danielle Bruckert, Illustrations Warmly Designs",https://freekidsbooks.org/wp-content/uploads/2023/08/Elephant_Naughty_Elephant-FKB.pdf,"What is Elephant doing? And is he really naughty? Find out in this cute, beautifully illustrated text for young children. Repetition and simple language can also be useful for learn to read age. Sample Text from Elephant, Naughty Elephant What is Elephant doing, can you guess? Elephant, naughty Elephant, what are you doing? Why, I’m …",https://freekidsbooks.org/wp-content/uploads/2023/10/2310-Cool_Cat-Cover.jpg
Tractor Gets Help,https://freekidsbooks.org/tractor-gets-help/,"Author: Mokgaetji Marutla, Illustrator: Ntibile Zonke o hweditše",https://freekidsbooks.org/wp-content/uploads/2023/08/2308-tractor-gets-help-FKB.pdf,A short beautifully illustrated book about tractor and his friends available as a free pdf download or to read online,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Save the Planet – Be Nice series book 4, revised edition",https://freekidsbooks.org/save-the-planet-be-nice-series-book-4-revised-edition/,Danielle Bruckert and Zehnya Bruckert,https://freekidsbooks.org/wp-content/uploads/2023/02/FKB_Learn-Sight-Words-Print_friendly-Save_the_Planet-VZ.pdf,"Save the Planet is a short simple book for young children, and beginner ESL readers, promoting values of conservation and ecologically-friendly behaviour. This book teaches children ten important lessons about conservation and actions that can help preserve and conserve our natural environment and the resources, for those of us, people and animals, who inhabit it. …",https://freekidsbooks.org/wp-content/uploads/2023/09/2309-Goldilocks_FKB.jpg
I Feel… – understanding emotions,https://freekidsbooks.org/i-feel-understanding-emotions/,Craig Aldred adapted by Danielle Bruckert,https://freekidsbooks.org/wp-content/uploads/2023/07/2307-I_feel-FKB.pdf,I Feel… is a book for young children to explore their emotions. Explore each emotion with your little one and ask your child when they felt the same and what could they do. Early steps to emotional intelligence!,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Colours – With Bear,https://freekidsbooks.org/colours-with-bear/,Author: Priyanka Illustrator: Ajanta Guhathakurta Translator: Alisha Berger,https://freekidsbooks.org/wp-content/uploads/2023/07/2307-Colours-Bear-RtR-FKB.pdf,"Bear likes colours – see all the pretty colours on his pure white fur… A beautiful text for emergent readers. Another great story from Room to Read, https://www.roomtoread.org/, brought to us by Storyweaver, https://storyweaver.org.in. Author: Priyanka, Illustrator: Ajanta Guhathakurta, Translator: Alisha Berger Read along with the video, read by Kiwi Opa: See more from Room …",https://freekidsbooks.org/wp-content/uploads/2023/07/2307-I_feel-FKB-1.jpg
MORE Conversations Among Cats,https://freekidsbooks.org/more-conversations-among-cats/,Gabriel Rosenstock,https://freekidsbooks.org/wp-content/uploads/2023/07/2307-More_Conversations_among_Cats-GR-FKB.pdf,"After an exceptionally positive reception to the book Conversations Among Cats, Gabriel Rosenstock has delved deeper into the world of cats with this expanded second edition – MORE Conversations Among Cats. The insights are playful and cat-like, and the conversations are longer and more intriguing than the first popular book. Enjoy this interlude into the …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Fun With Animals – Scissor Skills Book,https://freekidsbooks.org/fun-with-animals-scissor-skills-book/,Buzzing Bee Press,https://www.buzzingbeepress.com,Help your little one learn fine motor skills in a safe and fun way with this animal theme scissor skills book. You can see many more of these books for purchase here: https://www.buzzingbeepress.com,https://freekidsbooks.org/wp-content/uploads/2023/07/2307-Colours-Bear.jpg
Dinosaur Mazes for Kids,https://freekidsbooks.org/dinosaur-mazes-for-kids/,Buzzing Bee Press,https://www.buzzingbeepress.com,"A bumper collection of mazes and dot to dot with a dinosaur theme. Help children develop important educational skills while having tons of fun! Hard copies also available at the author’s website, here: https://www.buzzingbeepress.com","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Sami’s Beach Rescue – Help promote water safety!,https://freekidsbooks.org/samis-beach-rescue-help-promote-water-safety/,"Written by Ellie Jackson, Illustrated by Felipe Calv",https://freekidsbooks.org/wp-content/uploads/2023/06/Samis-Beach-Rescue-Ext-Vs-Colouring-FKB.pdf,"Sami and his family take a trip to the sea, but when things take a turn for the worse, Sami’s quick thinking and recollection of his water safety training are put to the test. Will “Float to Live” save the day? This beautifully illustrated book combines adventure and suspense with essential water safety lessons for …",https://freekidsbooks.org/wp-content/uploads/2023/07/2307-More_Conversations_among-Cats-GR-FKB.jpg
